ID,Brand,Category,Gender,Name,Image URL
63,Brooks Brothers,Suits,Men,Regent Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01043_GREY
64,Brooks Brothers,Suits,Men,Milano Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01042_GREY
65,Brooks Brothers,Suits,Men,Madison Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01044_GREY
66,Brooks Brothers,Suits,Men,Regent Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01066_BLUE
67,Brooks Brothers,Suits,Men,Milano Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01047_NAVY
68,Brooks Brothers,Suits,Men,Regent Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01018_GREY
69,Brooks Brothers,Suits,Men,Madison Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01083_BLUE
70,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01007_DARK-BLUE
71,Brooks Brothers,Suits,Men,Regent Fit Multi-Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01068_GREY
72,Brooks Brothers,Suits,Men,Regent Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01034_NAVY
73,Brooks Brothers,Suits,Men,Regent Fit Two-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01055_BLUE
74,Brooks Brothers,Suits,Men,Regent Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00994_GREY
75,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00882_LIGHT-SLATE
76,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01019_NAVY
77,Brooks Brothers,Suits,Men,Regent Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01039_BLACK
78,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01023_NAVY
79,Brooks Brothers,Suits,Men,Madison Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01074_BEIGE
