,ID,Brand,Category,Gender,Name,Image URL,Price
1024,10.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt with contrast detail,https://images.hugoboss.com/is/image/boss/hbeu50245195_001_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1025,11.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_404_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1026,12.0,BOSS,T-Shirts,Mens,Logo T-shirt in pure cotton with liquid finishing,https://images.hugoboss.com/is/image/boss/hbeu50333808_402_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1027,13.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_689_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1028,14.0,BOSS,T-Shirts,Mens,Cotton-blend T-shirt with striped logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452846_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 900.00Price
1029,15.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457636_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1030,16.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in yarn-dyed single jersey,https://images.hugoboss.com/is/image/boss/hbeu50385281_001_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1031,17.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_001_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1032,18.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in Pima cotton with photographic print,https://images.hugoboss.com/is/image/boss/hbeu50453656_002_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1033,19.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in Pima cotton with photographic print,https://images.hugoboss.com/is/image/boss/hbeu50453656_102_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1034,20.0,BOSS,T-Shirts,Mens,Logo T-shirt in Pima cotton with degradé print,https://images.hugoboss.com/is/image/boss/hbeu50453673_404_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1035,21.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_101_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1036,22.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in organic cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457641_034_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1037,23.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457636_034_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1038,24.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_034_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1039,25.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in pure cotton with liquid finishing,https://images.hugoboss.com/is/image/boss/hbeu50379310_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 790.00Price
1040,26.0,BOSS,T-Shirts,Mens,Regular-fit cotton-linen T-shirt with horizontal stripes,https://images.hugoboss.com/is/image/boss/hbeu50450786_247_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1041,27.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt with contrast detail,https://images.hugoboss.com/is/image/boss/hbeu50245195_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1042,28.0,BOSS,T-Shirts,Mens,Cotton T-shirt with glow-in-the-dark print,https://images.hugoboss.com/is/image/boss/hbeu50453648_101_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1043,29.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in paper-touch cotton with logo,https://images.hugoboss.com/is/image/boss/hbeu50452920_261_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 900.00Price
1044,30.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_492_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1045,31.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457636_680_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1046,32.0,BOSS,T-Shirts,Mens,Cotton-jersey T-shirt with multi-coloured logo,https://images.hugoboss.com/is/image/boss/hbeu50452836_452_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1047,33.0,BOSS,T-Shirts,Mens,Logo T-shirt in pure cotton with liquid finishing,https://images.hugoboss.com/is/image/boss/hbeu50333808_001_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1048,34.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_100_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1049,35.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_628_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1050,36.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in Pima cotton with photographic print,https://images.hugoboss.com/is/image/boss/hbeu50453656_428_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1051,37.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in cotton jersey with photographic print,https://images.hugoboss.com/is/image/boss/hbeu50454086_001_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 680.00Price
1052,38.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457336_001_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1053,39.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457636_492_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1054,40.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in stretch cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457636_404_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1055,41.0,BOSS,T-Shirts,Mens,Relaxed-fit unisex T-shirt in organic cotton with exclusive logo,https://images.hugoboss.com/is/image/boss/hbeu50457641_100_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,150.00Price"
1056,42.0,BOSS,T-Shirts,Mens,Stretch-cotton T-shirt with botanical logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50448680_001_350?$large$=&fit=crop%2C1&align=1%2C1,"HK$ 1,000.00Price"
1057,43.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton with layered logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50452841_482_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,HK$ 900.00Price
1058,44.0,BOSS,T-Shirts,Mens,Logo T-shirt in Pima cotton with degradé print,https://images.hugoboss.com/is/image/boss/hbeu50453673_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 900.00Price
1059,45.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_103_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1060,46.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt in cotton jersey with logo artwork,https://images.hugoboss.com/is/image/boss/hbeu50453672_492_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
1061,47.0,BOSS,T-Shirts,Mens,Regular-fit T-shirt with contrast detail,https://images.hugoboss.com/is/image/boss/hbeu50245195_410_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1062,48.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in mercerised cotton with logo print,https://images.hugoboss.com/is/image/boss/hbeu50453284_402_100?$large$=&fit=crop%2C1&align=1%2C1&extendN=0.05%2C0.05%2C0.05%2C0.05,"HK$ 1,150.00Price"
1063,49.0,BOSS,T-Shirts,Mens,Relaxed-fit T-shirt in organic cotton with logo patch,https://images.hugoboss.com/is/image/boss/hbeu50459448_428_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 680.00Price
1064,50.0,BOSS,T-Shirts,Mens,Crew-neck T-shirt in pure cotton with liquid finishing,https://images.hugoboss.com/is/image/boss/hbeu50379310_100_350?$large$=&fit=crop%2C1&align=1%2C1,HK$ 790.00Price
