ID,Brand,Category,Gender,Name,Image URL,Price
56.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Subtle Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01064_BLUE,
57.0,Brooks Brothers,Suits,Men,Regent Fit Multi-Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00995_DARK-GREY,
58.0,Brooks Brothers,Suits,Men,Madison Fit Stripe Seersucker Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00777_BLUE-IVORY,
59.0,Brooks Brothers,Suits,Men,Madison Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01041_GREY,
60.0,Brooks Brothers,Suits,Men,Big & Tall Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/XK00001_CHARCOAL,
61.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00997_DARK-BLUE,
62.0,Brooks Brothers,Suits,Men,Regent Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01046_NAVY,
63.0,Brooks Brothers,Suits,Men,Regent Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01043_GREY,
64.0,Brooks Brothers,Suits,Men,Milano Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01042_GREY,
65.0,Brooks Brothers,Suits,Men,Madison Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01044_GREY,
66.0,Brooks Brothers,Suits,Men,Regent Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01066_BLUE,
67.0,Brooks Brothers,Suits,Men,Milano Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01047_NAVY,
68.0,Brooks Brothers,Suits,Men,Regent Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01018_GREY,
69.0,Brooks Brothers,Suits,Men,Madison Fit Combo Check 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01083_BLUE,
70.0,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01007_DARK-BLUE,
71.0,Brooks Brothers,Suits,Men,Regent Fit Multi-Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01068_GREY,
72.0,Brooks Brothers,Suits,Men,Regent Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01034_NAVY,
73.0,Brooks Brothers,Suits,Men,Regent Fit Two-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01055_BLUE,
74.0,Brooks Brothers,Suits,Men,Regent Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00994_GREY,
75.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00882_LIGHT-SLATE,
76.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01019_NAVY,
77.0,Brooks Brothers,Suits,Men,Regent Fit Two-Button Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01039_BLACK,
78.0,Brooks Brothers,Suits,Men,Milano Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01023_NAVY,
79.0,Brooks Brothers,Suits,Men,Madison Fit Stripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01074_BEIGE,
80.0,Brooks Brothers,Suits,Men,Milano Fit Three-Button Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01045_GREY,
81.0,Brooks Brothers,Suits,Men,Regent Fit Two-Button Grey Black 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00999_GREY,
82.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01056_BLUE,
83.0,Brooks Brothers,Suits,Men,Regent Fit Tic 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00829_GREY,
84.0,Brooks Brothers,Suits,Men,Madison Fit BrooksCool® Subtle Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01078_BLUE,
85.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Check Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01058_GREY,
86.0,Brooks Brothers,Suits,Men,Milano Fit Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01059_NAVY,
87.0,Brooks Brothers,Suits,Men,Milano Fit Sharkskin 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01038_BLUE,
88.0,Brooks Brothers,Suits,Men,Regent Fit Glen Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01002_NAVY,
89.0,Brooks Brothers,Suits,Men,BrooksGate™ Regent-Fit Windowpane Wool Suit Pants,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00967_MEDIUM-GREY,
90.0,Brooks Brothers,Suits,Men,Madison Fit Stretch Flannel 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00715_CHARCOAL,
91.0,Brooks Brothers,Suits,Men,Regent Fit Stretch Flannel 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00710_CHARCOAL,
92.0,Brooks Brothers,Suits,Men,Regent Fit Blue Windowpane 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00917_GREY,
93.0,Brooks Brothers,Suits,Men,Regent Fit Grey Herringbone 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00830_GREY,
94.0,Brooks Brothers,Suits,Men,Regent Fit Blue Herringbone 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00831_NAVY,
95.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Navy Plaid Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK01057_NAVY,
96.0,Brooks Brothers,Suits,Men,Regent Fit Plaid 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00928_DARK-GREY-BLUE,
97.0,Brooks Brothers,Suits,Men,Regent Fit Pinstripe 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00893_CHARCOAL,
98.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00736_CHARCOAL,
99.0,Brooks Brothers,Suits,Men,Regent Fit BrooksCool® Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00857_NAVY,
100.0,Brooks Brothers,Suits,Men,Milano Fit Stretch Wool Two-Button 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00783_BLACK,
101.0,Brooks Brothers,Suits,Men,Milano Fit Stretch Flannel 1818 Suit,https://brooksbrothers.scene7.com/is/image/BrooksBrothers/MK00856_CHARCOAL,
